Tempo; Valor
2,450875;-318,994256
2,45185535;-316,5212318
2,4528357;-314,4706862
2,45381605;-312,4572541
2,4547964;-309,8700124
2,45577675;-306,2386547
2,4567571;-301,5531383
2,45773745;-296,2920326
2,4587178;-291,176839
2,45969815;-286,8695138
2,4606785;-283,7584663
2,46165885;-281,819699
2,4626392;-280,5620701
2,46361955;-279,1621943
2,4645999;-276,8273293
2,46558025;-273,2182471
2,4665606;-268,6408827
2,46754095;-263,8535959
2,4685213;-259,6347328
2,46950165;-256,4207956
2,470482;-254,2180421
2,47146235;-252,7362297
2,4724427;-251,5647372
2,47342305;-250,3081636
2,4744034;-248,69997
2,47538375;-246,6630333
2,4763641;-244,2419115
2,47734445;-241,4635829
2,4783248;-238,3247596
2,47930515;-234,9256753
2,4802855;-231,4791013
2,48126585;-228,087375
2,4822462;-224,590595
2,48322655;-220,7254759
2,4842069;-216,4101743
2,48518725;-211,8602087
2,4861676;-207,4632714
2,48714795;-203,5058799
2,4881283;-199,9541373
2,48910865;-196,5388962
2,490089;-193,1132182
2,49106935;-189,8827794
2,4920497;-187,2504773
2,49303005;-185,47062
2,4940104;-184,4168781
2,49499075;-183,5482398
2,4959711;-182,0704278
2,49695145;-179,3112409
2,4979318;-175,1229989
2,49891215;-169,9726312
2,4998925;-164,6786976
2,50087285;-160,0628221
2,5018532;-156,6971191
2,50283355;-154,7464442
2,5038139;-153,8857153
2,50479425;-153,3581025
2,5057746;-152,2412887
2,50675495;-149,840824
2,5077353;-146,012438
2,50871565;-141,2468314
2,509696;-136,4768399
2,51067635;-132,6722435
2,5116567;-130,3466034
2,51263705;-129,2213466
2,5136174;-128,3431264
2,51459775;-126,6592149
2,5155781;-123,6258051
2,51655845;-119,4033919
2,5175388;-114,6306812
2,51851915;-110,0532952
2,5194995;-106,181843
2,52047985;-103,1107981
2,5214602;-100,6500766
2,52244055;-98,61612577
2,5234209;-96,88897667
2,52440125;-95,21444288
2,5253816;-93,15514914
2,52636195;-90,37415871
2,5273423;-86,96908037
2,52832265;-83,50280638
2,529303;-80,68013073
2,53028335;-78,92065402
2,5312637;-78,10871853
